TriBase

Nombre de données, Intervalle des données, Taux de dispersion, nombre d'instructions,mémoire maximale(bytes), temps de traitement(us);
10000, 100, 0,150088, 40120, 806;
10000, 100, 0,150088, 40120, 755;
10000, 100, 0,150088, 40120, 756;
10000, 100, 0,150088, 40120, 754;
10000, 100, 0,150088, 40120, 782;
10000, 100, 0,150088, 40120, 803;
10000, 100, 0,150088, 40120, 805;
10000, 100, 0,150088, 40120, 752;
10000, 100, 0,150088, 40120, 757;
10000, 100, 0,150088, 40120, 755;
10000, 100, 25,150088, 40120, 804;
10000, 100, 25,150088, 40120, 804;
10000, 100, 25,150088, 40120, 806;
10000, 100, 25,150088, 40120, 785;
10000, 100, 25,150088, 40120, 806;
10000, 100, 25,150088, 40120, 872;
10000, 100, 25,150088, 40120, 803;
10000, 100, 25,150088, 40120, 806;
10000, 100, 25,150088, 40120, 812;
10000, 100, 25,150088, 40120, 809;
10000, 100, 50,150088, 40120, 806;
10000, 100, 50,150088, 40120, 1464;
10000, 100, 50,150088, 40120, 1371;
10000, 100, 50,150088, 40120, 1341;
10000, 100, 50,150088, 40120, 921;
10000, 100, 50,150088, 40120, 810;
10000, 100, 50,150088, 40120, 831;
10000, 100, 50,150088, 40120, 805;
10000, 100, 50,150088, 40120, 806;
10000, 100, 50,150088, 40120, 805;
10000, 100, 75,150088, 40120, 805;
10000, 100, 75,150088, 40120, 805;
10000, 100, 75,150088, 40120, 805;
10000, 100, 75,150088, 40120, 813;
10000, 100, 75,150088, 40120, 773;
10000, 100, 75,150088, 40120, 753;
10000, 100, 75,150088, 40120, 834;
10000, 100, 75,150088, 40120, 811;
10000, 100, 75,150088, 40120, 789;
10000, 100, 75,150088, 40120, 776;
10000, 100, 100,150088, 40120, 807;
10000, 100, 100,150088, 40120, 806;
10000, 100, 100,150088, 40120, 774;
10000, 100, 100,150088, 40120, 792;
10000, 100, 100,150088, 40120, 776;
10000, 100, 100,150088, 40120, 776;
10000, 100, 100,150088, 40120, 807;
10000, 100, 100,150088, 40120, 753;
10000, 100, 100,150088, 40120, 755;
10000, 100, 100,150088, 40120, 755;
10000, 10000, 0,250146, 40120, 1568;
10000, 10000, 0,250146, 40120, 1263;
10000, 10000, 0,250146, 40120, 1263;
10000, 10000, 0,250146, 40120, 1264;
10000, 10000, 0,250146, 40120, 1337;
10000, 10000, 0,250146, 40120, 1308;
10000, 10000, 0,250146, 40120, 1262;
10000, 10000, 0,250146, 40120, 1265;
10000, 10000, 0,250146, 40120, 1298;
10000, 10000, 0,250146, 40120, 1264;
10000, 10000, 25,250146, 40120, 1345;
10000, 10000, 25,250146, 40120, 1351;
10000, 10000, 25,250146, 40120, 1347;
10000, 10000, 25,250146, 40120, 1417;
10000, 10000, 25,250146, 40120, 1374;
10000, 10000, 25,250146, 40120, 1357;
10000, 10000, 25,250146, 40120, 1452;
10000, 10000, 25,250146, 40120, 1346;
10000, 10000, 25,250146, 40120, 1378;
10000, 10000, 25,250146, 40120, 1349;
10000, 10000, 50,250146, 40120, 1346;
10000, 10000, 50,250146, 40120, 1347;
10000, 10000, 50,250146, 40120, 1698;
10000, 10000, 50,250146, 40120, 2082;
10000, 10000, 50,250146, 40120, 1460;
10000, 10000, 50,250146, 40120, 1263;
10000, 10000, 50,250146, 40120, 1348;
10000, 10000, 50,250146, 40120, 1353;
10000, 10000, 50,250146, 40120, 1353;
10000, 10000, 50,250146, 40120, 1320;
10000, 10000, 75,250146, 40120, 1361;
10000, 10000, 75,250146, 40120, 1263;
10000, 10000, 75,250146, 40120, 1261;
10000, 10000, 75,250146, 40120, 1347;
10000, 10000, 75,250146, 40120, 1346;
10000, 10000, 75,250146, 40120, 1347;
10000, 10000, 75,250146, 40120, 1349;
10000, 10000, 75,250146, 40120, 1263;
10000, 10000, 75,250146, 40120, 1263;
10000, 10000, 75,250146, 40120, 1271;
10000, 10000, 100,250146, 40120, 1263;
10000, 10000, 100,250146, 40120, 1261;
10000, 10000, 100,250146, 40120, 1262;
10000, 10000, 100,250146, 40120, 1263;
10000, 10000, 100,250146, 40120, 1322;
10000, 10000, 100,250146, 40120, 1267;
10000, 10000, 100,250146, 40120, 1263;
10000, 10000, 100,250146, 40120, 1287;
10000, 10000, 100,250146, 40120, 1368;
10000, 10000, 100,250146, 40120, 1355;
10000, 1000000, 0,350204, 40120, 1840;
10000, 1000000, 0,350204, 40120, 2401;
10000, 1000000, 0,350204, 40120, 1886;
10000, 1000000, 0,350204, 40120, 1884;
10000, 1000000, 0,350204, 40120, 1884;
10000, 1000000, 0,350204, 40120, 1881;
10000, 1000000, 0,350204, 40120, 1881;
10000, 1000000, 0,350204, 40120, 1884;
10000, 1000000, 0,350204, 40120, 1886;
10000, 1000000, 0,350204, 40120, 1888;
10000, 1000000, 25,350204, 40120, 1882;
10000, 1000000, 25,350204, 40120, 1882;
10000, 1000000, 25,350204, 40120, 1885;
10000, 1000000, 25,350204, 40120, 1886;
10000, 1000000, 25,350204, 40120, 1926;
10000, 1000000, 25,350204, 40120, 1884;
10000, 1000000, 25,350204, 40120, 1885;
