TriFusion

Nombre de données, Intervalle des données, Taux de dispersion, nombre d'instructions,mémoire maximale(bytes), temps de traitement(us);
10000, 100, 0,440845, 40060, 2452;
10000, 100, 0,440845, 40060, 2416;
10000, 100, 0,440845, 40060, 2450;
10000, 100, 0,440845, 40060, 2354;
10000, 100, 0,440845, 40060, 2409;
10000, 100, 0,440845, 40060, 2544;
10000, 100, 0,440845, 40060, 2357;
10000, 100, 0,440845, 40060, 2190;
10000, 100, 0,440845, 40060, 1575;
10000, 100, 0,440845, 40060, 1554;
10000, 100, 25,440845, 40060, 1633;
10000, 100, 25,440845, 40060, 2572;
10000, 100, 25,440845, 40060, 2441;
10000, 100, 25,440845, 40060, 2721;
10000, 100, 25,440845, 40060, 2407;
10000, 100, 25,440845, 40060, 2409;
10000, 100, 25,440845, 40060, 1630;
10000, 100, 25,440845, 40060, 1631;
10000, 100, 25,440845, 40060, 1622;
10000, 100, 25,440845, 40060, 1657;
10000, 100, 50,440845, 40060, 1641;
10000, 100, 50,440845, 40060, 1658;
10000, 100, 50,440845, 40060, 1640;
10000, 100, 50,440845, 40060, 1644;
10000, 100, 50,440845, 40060, 1644;
10000, 100, 50,440845, 40060, 1658;
10000, 100, 50,440845, 40060, 1537;
10000, 100, 50,440845, 40060, 1541;
10000, 100, 50,440845, 40060, 1642;
10000, 100, 50,440845, 40060, 1570;
10000, 100, 75,440845, 40060, 1554;
10000, 100, 75,440845, 40060, 1527;
10000, 100, 75,440845, 40060, 1526;
10000, 100, 75,440845, 40060, 1532;
10000, 100, 75,440845, 40060, 1527;
10000, 100, 75,440845, 40060, 1533;
10000, 100, 75,440845, 40060, 1526;
10000, 100, 75,440845, 40060, 1552;
10000, 100, 75,440845, 40060, 1527;
10000, 100, 75,440845, 40060, 1526;
10000, 100, 100,440845, 40060, 1559;
10000, 100, 100,440845, 40060, 1643;
10000, 100, 100,440845, 40060, 1562;
10000, 100, 100,440845, 40060, 1559;
10000, 100, 100,440845, 40060, 1559;
10000, 100, 100,440845, 40060, 1756;
10000, 100, 100,440845, 40060, 1568;
10000, 100, 100,440845, 40060, 1517;
10000, 100, 100,440845, 40060, 1463;
10000, 100, 100,440845, 40060, 1563;
10000, 10000, 0,440845, 40060, 1545;
10000, 10000, 0,440845, 40060, 1667;
10000, 10000, 0,440845, 40060, 1564;
10000, 10000, 0,440845, 40060, 1548;
10000, 10000, 0,440845, 40060, 1587;
10000, 10000, 0,440845, 40060, 1669;
10000, 10000, 0,440845, 40060, 1559;
10000, 10000, 0,440845, 40060, 1546;
10000, 10000, 0,440845, 40060, 1809;
10000, 10000, 0,440845, 40060, 1581;
10000, 10000, 25,440845, 40060, 1623;
10000, 10000, 25,440845, 40060, 1646;
10000, 10000, 25,440845, 40060, 1621;
10000, 10000, 25,440845, 40060, 1654;
10000, 10000, 25,440845, 40060, 1618;
10000, 10000, 25,440845, 40060, 1644;
10000, 10000, 25,440845, 40060, 1621;
10000, 10000, 25,440845, 40060, 1618;
10000, 10000, 25,440845, 40060, 1619;
10000, 10000, 25,440845, 40060, 1618;
10000, 10000, 50,440845, 40060, 1562;
10000, 10000, 50,440845, 40060, 1560;
10000, 10000, 50,440845, 40060, 1560;
10000, 10000, 50,440845, 40060, 1591;
10000, 10000, 50,440845, 40060, 1625;
10000, 10000, 50,440845, 40060, 1560;
10000, 10000, 50,440845, 40060, 1559;
10000, 10000, 50,440845, 40060, 1561;
10000, 10000, 50,440845, 40060, 1677;
10000, 10000, 50,440845, 40060, 1621;
10000, 10000, 75,440845, 40060, 1659;
10000, 10000, 75,440845, 40060, 1556;
10000, 10000, 75,440845, 40060, 1557;
10000, 10000, 75,440845, 40060, 1554;
10000, 10000, 75,440845, 40060, 1554;
10000, 10000, 75,440845, 40060, 1554;
10000, 10000, 75,440845, 40060, 1664;
10000, 10000, 75,440845, 40060, 1588;
10000, 10000, 75,440845, 40060, 1553;
10000, 10000, 75,440845, 40060, 1554;
10000, 10000, 100,440845, 40060, 1593;
10000, 10000, 100,440845, 40060, 1493;
10000, 10000, 100,440845, 40060, 1519;
10000, 10000, 100,440845, 40060, 1735;
10000, 10000, 100,440845, 40060, 1650;
10000, 10000, 100,440845, 40060, 1493;
10000, 10000, 100,440845, 40060, 1495;
10000, 10000, 100,440845, 40060, 1559;
10000, 10000, 100,440845, 40060, 1620;
10000, 10000, 100,440845, 40060, 1494;
