TriInsertion

Nombre de données, Intervalle des données, Taux de dispersion, nombre d'instructions,mémoire maximale(bytes), temps de traitement(us);
10000, 100, 0,10000, 20, 44;
10000, 100, 0,10000, 20, 68;
10000, 100, 0,10000, 20, 69;
10000, 100, 0,10000, 20, 43;
10000, 100, 0,10000, 20, 68;
10000, 100, 0,10000, 20, 65;
10000, 100, 0,10000, 20, 43;
10000, 100, 0,10000, 20, 43;
10000, 100, 0,10000, 20, 43;
10000, 100, 0,10000, 20, 71;
10000, 100, 25,12182642, 20, 40587;
10000, 100, 25,12182642, 20, 49013;
10000, 100, 25,12182642, 20, 49796;
10000, 100, 25,12182642, 20, 61101;
10000, 100, 25,12182642, 20, 40494;
10000, 100, 25,12182642, 20, 60728;
10000, 100, 25,12182642, 20, 56534;
10000, 100, 25,12182642, 20, 49121;
10000, 100, 25,12182642, 20, 56574;
10000, 100, 25,12182642, 20, 46538;
10000, 100, 50,24482358, 20, 77675;
10000, 100, 50,24482358, 20, 78512;
10000, 100, 50,24273525, 20, 81454;
10000, 100, 50,24273525, 20, 76670;
10000, 100, 50,24273525, 20, 76690;
10000, 100, 50,24273525, 20, 76796;
10000, 100, 50,24273525, 20, 87838;
10000, 100, 50,24273525, 20, 77482;
10000, 100, 50,24273525, 20, 75616;
10000, 100, 50,24273525, 20, 76566;
10000, 100, 75,36726159, 20, 118379;
10000, 100, 75,36726159, 20, 115479;
10000, 100, 75,36726159, 20, 119412;
10000, 100, 75,37086991, 20, 123632;
10000, 100, 75,37086991, 20, 118225;
10000, 100, 75,37086991, 20, 118613;
10000, 100, 75,37086991, 20, 118247;
10000, 100, 75,37086991, 20, 128516;
10000, 100, 75,37086991, 20, 118459;
10000, 100, 75,37086991, 20, 116949;
10000, 100, 100,49510361, 20, 169755;
10000, 100, 100,49509891, 20, 157015;
10000, 100, 100,49509891, 20, 162203;
10000, 100, 100,49509891, 20, 162417;
10000, 100, 100,49509891, 20, 162783;
10000, 100, 100,49509891, 20, 155755;
10000, 100, 100,49509891, 20, 158220;
10000, 100, 100,49509653, 20, 169953;
10000, 100, 100,49509653, 20, 157840;
10000, 100, 100,49509653, 20, 159111;
10000, 10000, 0,10000, 20, 43;
10000, 10000, 0,10000, 20, 41;
10000, 10000, 0,10000, 20, 43;
10000, 10000, 0,10000, 20, 43;
10000, 10000, 0,10000, 20, 41;
10000, 10000, 0,10000, 20, 43;
10000, 10000, 0,10000, 20, 43;
10000, 10000, 0,10000, 20, 43;
10000, 10000, 0,10000, 20, 43;
10000, 10000, 0,10000, 20, 43;
10000, 10000, 25,12025979, 20, 38433;
10000, 10000, 25,12025979, 20, 38810;
10000, 10000, 25,12025979, 20, 48242;
10000, 10000, 25,12025979, 20, 40085;
10000, 10000, 25,12025979, 20, 38579;
10000, 10000, 25,12025979, 20, 39441;
10000, 10000, 25,12025979, 20, 38202;
10000, 10000, 25,12025979, 20, 38437;
10000, 10000, 25,12025979, 20, 38676;
10000, 10000, 25,12025979, 20, 39028;
10000, 10000, 50,24581449, 20, 77945;
10000, 10000, 50,24842281, 20, 83648;
10000, 10000, 50,24842281, 20, 88280;
10000, 10000, 50,24842281, 20, 78257;
10000, 10000, 50,24842281, 20, 77960;
10000, 10000, 50,24842281, 20, 80645;
10000, 10000, 50,24842281, 20, 78149;
10000, 10000, 50,24842281, 20, 79164;
10000, 10000, 50,24842281, 20, 86232;
10000, 10000, 50,24842281, 20, 80870;
10000, 10000, 75,37445772, 20, 119879;
10000, 10000, 75,37445772, 20, 118485;
10000, 10000, 75,37671327, 20, 126930;
10000, 10000, 75,37671327, 20, 125092;
10000, 10000, 75,37671327, 20, 120665;
10000, 10000, 75,37671327, 20, 118219;
10000, 10000, 75,37671327, 20, 122374;
10000, 10000, 75,37671327, 20, 129672;
10000, 10000, 75,37671327, 20, 122115;
10000, 10000, 75,37671327, 20, 119972;
10000, 10000, 100,50000056, 20, 160352;
10000, 10000, 100,50000056, 20, 165944;
10000, 10000, 100,50000056, 20, 157594;
10000, 10000, 100,50000056, 20, 158442;
10000, 10000, 100,50000056, 20, 168029;
10000, 10000, 100,50000056, 20, 160191;
10000, 10000, 100,49999897, 20, 160841;
10000, 10000, 100,49999897, 20, 171631;
10000, 10000, 100,49999897, 20, 156427;
10000, 10000, 100,49999897, 20, 159253;
10000, 1000000, 0,10000, 20, 40;
10000, 1000000, 0,10000, 20, 43;
10000, 1000000, 0,10000, 20, 43;
10000, 1000000, 0,10000, 20, 43;
10000, 1000000, 0,10000, 20, 43;
10000, 1000000, 0,10000, 20, 43;
10000, 1000000, 0,10000, 20, 43;
10000, 1000000, 0,10000, 20, 43;
10000, 1000000, 0,10000, 20, 40;
10000, 1000000, 0,10000, 20, 43;
10000, 1000000, 25,12254302, 20, 40209;
10000, 1000000, 25,12254302, 20, 41581;
10000, 1000000, 25,12254302, 20, 43732;
10000, 1000000, 25,12254302, 20, 40668;
10000, 1000000, 25,12254302, 20, 38724;
10000, 1000000, 25,12254302, 20, 38882;
10000, 1000000, 25,12416314, 20, 40530;
10000, 1000000, 25,12416314, 20, 39256;
10000, 1000000, 25,12416314, 20, 40397;
10000, 1000000, 25,12416314, 20, 40497;
10000, 1000000, 50,24818697, 20, 78856;
10000, 1000000, 50,24818697, 20, 80519;
10000, 1000000, 50,24818697, 20, 89531;
10000, 1000000, 50,24818697, 20, 80228;
10000, 1000000, 50,24818697, 20, 77551;
10000, 1000000, 50,24818697, 20, 78681;
10000, 1000000, 50,24818697, 20, 79625;
10000, 1000000, 50,24818697, 20, 78950;
10000, 1000000, 50,24818697, 20, 90580;
10000, 1000000, 50,24818697, 20, 79267;
10000, 1000000, 75,37336181, 20, 118493;
10000, 1000000, 75,37336181, 20, 117828;
10000, 1000000, 75,37336181, 20, 121182;
10000, 1000000, 75,37336181, 20, 131837;
10000, 1000000, 75,37336181, 20, 119678;
10000, 1000000, 75,37336181, 20, 120068;
10000, 1000000, 75,37336181, 20, 119122;
10000, 1000000, 75,37336181, 20, 128103;
10000, 1000000, 75,37647740, 20, 120292;
10000, 1000000, 75,37647740, 20, 118731;
10000, 1000000, 100,50003478, 20, 161085;
10000, 1000000, 100,50003478, 20, 168911;
10000, 1000000, 100,50003478, 20, 163623;
10000, 1000000, 100,50003478, 20, 160744;
10000, 1000000, 100,50003478, 20, 176723;
10000, 1000000, 100,50003407, 20, 157721;
10000, 1000000, 100,50003407, 20, 163925;
10000, 1000000, 100,50003407, 20, 167892;
10000, 1000000, 100,50003407, 20, 158993;
10000, 1000000, 100,50003407, 20, 157911;
10000, 100000000, 0,10000, 20, 43;
10000, 100000000, 0,10000, 20, 43;
10000, 100000000, 0,10000, 20, 44;
10000, 100000000, 0,10000, 20, 43;
10000, 100000000, 0,10000, 20, 43;
10000, 100000000, 0,10000, 20, 43;
10000, 100000000, 0,10000, 20, 43;
10000, 100000000, 0,10000, 20, 43;
10000, 100000000, 0,10000, 20, 43;
10000, 100000000, 0,10000, 20, 43;
10000, 100000000, 25,12146794, 20, 40874;
10000, 100000000, 25,12441763, 20, 46746;
10000, 100000000, 25,12441763, 20, 41561;
10000, 100000000, 25,12441763, 20, 40562;
10000, 100000000, 25,12441763, 20, 39226;
10000, 100000000, 25,12441763, 20, 40274;
10000, 100000000, 25,12441763, 20, 39103;
10000, 100000000, 25,12441763, 20, 40255;
10000, 100000000, 25,12441763, 20, 40922;
10000, 100000000, 25,12441763, 20, 40426;
10000, 100000000, 50,24498407, 20, 77675;
10000, 100000000, 50,24498407, 20, 79806;
10000, 100000000, 50,24498407, 20, 83500;
10000, 100000000, 50,24498407, 20, 77559;
10000, 100000000, 50,24498407, 20, 76792;
10000, 100000000, 50,24498407, 20, 79340;
10000, 100000000, 50,24498407, 20, 77532;
10000, 100000000, 50,24938860, 20, 81349;
10000, 100000000, 50,24938860, 20, 85257;
10000, 100000000, 50,24938860, 20, 82701;
10000, 100000000, 75,37383687, 20, 118502;
10000, 100000000, 75,37383687, 20, 118367;
10000, 100000000, 75,37383687, 20, 126295;
10000, 100000000, 75,37383687, 20, 122532;
10000, 100000000, 75,37383687, 20, 118492;
10000, 100000000, 75,37383687, 20, 121725;
10000, 100000000, 75,37196575, 20, 117587;
10000, 100000000, 75,37196575, 20, 130219;
10000, 100000000, 75,37196575, 20, 116743;
10000, 100000000, 75,37196575, 20, 118627;
10000, 100000000, 100,50003511, 20, 162233;
10000, 100000000, 100,50003511, 20, 165652;
10000, 100000000, 100,50003511, 20, 158310;
10000, 100000000, 100,50003490, 20, 157772;
10000, 100000000, 100,50003490, 20, 175761;
10000, 100000000, 100,50003490, 20, 159129;
10000, 100000000, 100,50003490, 20, 155980;
10000, 100000000, 100,50003490, 20, 165847;
10000, 100000000, 100,50003490, 20, 157502;
10000, 100000000, 100,50003513, 20, 158457;
20000, 100, 0,20000, 20, 86;
20000, 100, 0,20000, 20, 87;
20000, 100, 0,20000, 20, 81;
20000, 100, 0,20000, 20, 87;
20000, 100, 0,20000, 20, 87;
20000, 100, 0,20000, 20, 86;
20000, 100, 0,20000, 20, 87;
20000, 100, 0,20000, 20, 87;
20000, 100, 0,20000, 20, 87;
20000, 100, 0,20000, 20, 87;
20000, 100, 25,47761738, 20, 171062;
20000, 100, 25,47761738, 20, 152003;
20000, 100, 25,47761738, 20, 154171;
20000, 100, 25,47761738, 20, 160406;
20000, 100, 25,47761738, 20, 150800;
20000, 100, 25,48353786, 20, 151596;
20000, 100, 25,48353786, 20, 153778;
20000, 100, 25,48353786, 20, 167603;
20000, 100, 25,48353786, 20, 156364;
20000, 100, 25,48353786, 20, 151953;
20000, 100, 50,98373018, 20, 324662;
20000, 100, 50,96504307, 20, 314776;
20000, 100, 50,96504307, 20, 307958;
20000, 100, 50,96504307, 20, 314640;
20000, 100, 50,97500736, 20, 309436;
20000, 100, 50,97500736, 20, 318863;
20000, 100, 50,97500736, 20, 314619;
20000, 100, 50,97590753, 20, 312416;
20000, 100, 50,97590753, 20, 324918;
20000, 100, 50,97590753, 20, 315899;
20000, 100, 75,147644534, 20, 471556;
20000, 100, 75,147644534, 20, 478881;
20000, 100, 75,146976179, 20, 483300;
20000, 100, 75,146976179, 20, 474982;
20000, 100, 75,146976179, 20, 475956;
20000, 100, 75,148230992, 20, 479488;
20000, 100, 75,148230992, 20, 492963;
20000, 100, 75,147892655, 20, 488199;
20000, 100, 75,147892655, 20, 492307;
20000, 100, 75,147667305, 20, 484983;
20000, 100, 100,198030765, 20, 667761;
20000, 100, 100,198027988, 20, 655599;
20000, 100, 100,198028503, 20, 682696;
20000, 100, 100,198028503, 20, 658477;
20000, 100, 100,198029885, 20, 648490;
20000, 100, 100,198029823, 20, 650705;
20000, 100, 100,198029823, 20, 652533;
20000, 100, 100,198030962, 20, 641534;
20000, 100, 100,198029942, 20, 647517;
20000, 100, 100,198029942, 20, 648572;
20000, 10000, 0,20000, 20, 81;
20000, 10000, 0,20000, 20, 81;
20000, 10000, 0,20000, 20, 81;
20000, 10000, 0,20000, 20, 82;
20000, 10000, 0,20000, 20, 87;
