TriPigeonnier

Nombre de données, Intervalle des données, Taux de dispersion, nombre d'instructions,mémoire maximale(bytes), temps de traitement(us);
10000, 100, 0,20203, 432, 62;
10000, 100, 0,20203, 432, 61;
10000, 100, 0,20203, 432, 61;
10000, 100, 0,20203, 432, 62;
10000, 100, 0,20203, 432, 62;
10000, 100, 0,20203, 432, 62;
10000, 100, 0,20203, 432, 62;
10000, 100, 0,20203, 432, 62;
10000, 100, 0,20203, 432, 62;
10000, 100, 0,20203, 432, 61;
10000, 100, 25,20203, 432, 100;
10000, 100, 25,20203, 432, 101;
10000, 100, 25,20203, 432, 69;
10000, 100, 25,20203, 432, 61;
10000, 100, 25,20203, 432, 61;
10000, 100, 25,20203, 432, 61;
10000, 100, 25,20203, 432, 61;
10000, 100, 25,20203, 432, 61;
10000, 100, 25,20203, 432, 61;
10000, 100, 25,20203, 432, 62;
10000, 100, 50,20203, 432, 92;
10000, 100, 50,20203, 432, 95;
10000, 100, 50,20203, 432, 92;
10000, 100, 50,20203, 432, 61;
10000, 100, 50,20203, 432, 61;
10000, 100, 50,20203, 432, 61;
10000, 100, 50,20203, 432, 61;
10000, 100, 50,20203, 432, 88;
10000, 100, 50,20203, 432, 86;
10000, 100, 50,20203, 432, 94;
10000, 100, 75,20203, 432, 89;
10000, 100, 75,20203, 432, 97;
10000, 100, 75,20203, 432, 61;
10000, 100, 75,20203, 432, 61;
10000, 100, 75,20203, 432, 61;
10000, 100, 75,20203, 432, 61;
10000, 100, 75,20203, 432, 61;
10000, 100, 75,20203, 432, 61;
10000, 100, 75,20203, 432, 61;
10000, 100, 75,20203, 432, 62;
10000, 100, 100,20203, 432, 61;
10000, 100, 100,20203, 432, 88;
10000, 100, 100,20203, 432, 62;
10000, 100, 100,20203, 432, 61;
10000, 100, 100,20203, 432, 61;
10000, 100, 100,20203, 432, 61;
10000, 100, 100,20203, 432, 61;
10000, 100, 100,20203, 432, 95;
10000, 100, 100,20203, 432, 95;
10000, 100, 100,20203, 432, 94;
10000, 1000, 0,22003, 4032, 75;
10000, 1000, 0,22003, 4032, 108;
10000, 1000, 0,22003, 4032, 112;
10000, 1000, 0,22003, 4032, 111;
10000, 1000, 0,22003, 4032, 110;
10000, 1000, 0,22003, 4032, 75;
10000, 1000, 0,22003, 4032, 76;
10000, 1000, 0,22003, 4032, 76;
10000, 1000, 0,22003, 4032, 75;
10000, 1000, 0,22003, 4032, 78;
10000, 1000, 25,22003, 4032, 76;
10000, 1000, 25,22003, 4032, 75;
10000, 1000, 25,22003, 4032, 76;
10000, 1000, 25,22003, 4032, 75;
10000, 1000, 25,22003, 4032, 75;
10000, 1000, 25,22003, 4032, 76;
10000, 1000, 25,22003, 4032, 76;
10000, 1000, 25,22003, 4032, 75;
10000, 1000, 25,22003, 4032, 76;
10000, 1000, 25,22003, 4032, 76;
10000, 1000, 50,22003, 4032, 75;
10000, 1000, 50,22003, 4032, 75;
10000, 1000, 50,22003, 4032, 75;
10000, 1000, 50,22003, 4032, 75;
10000, 1000, 50,22003, 4032, 76;
10000, 1000, 50,22003, 4032, 75;
10000, 1000, 50,22003, 4032, 76;
10000, 1000, 50,22003, 4032, 104;
10000, 1000, 50,22003, 4032, 103;
10000, 1000, 50,22003, 4032, 103;
10000, 1000, 75,22003, 4032, 148;
10000, 1000, 75,22003, 4032, 111;
10000, 1000, 75,22003, 4032, 112;
10000, 1000, 75,22003, 4032, 111;
10000, 1000, 75,22003, 4032, 110;
10000, 1000, 75,22003, 4032, 114;
10000, 1000, 75,22003, 4032, 76;
10000, 1000, 75,22003, 4032, 76;
10000, 1000, 75,22003, 4032, 76;
10000, 1000, 75,22003, 4032, 108;
10000, 1000, 100,22003, 4032, 76;
10000, 1000, 100,22003, 4032, 76;
10000, 1000, 100,22003, 4032, 76;
10000, 1000, 100,22003, 4032, 76;
10000, 1000, 100,22003, 4032, 76;
10000, 1000, 100,22003, 4032, 75;
10000, 1000, 100,22003, 4032, 75;
10000, 1000, 100,22003, 4032, 76;
10000, 1000, 100,22003, 4032, 75;
10000, 1000, 100,22003, 4032, 76;
10000, 10000, 0,40003, 40032, 185;
10000, 10000, 0,40003, 40032, 182;
10000, 10000, 0,40003, 40032, 183;
10000, 10000, 0,40003, 40032, 184;
10000, 10000, 0,40003, 40032, 187;
10000, 10000, 0,40003, 40032, 185;
10000, 10000, 0,40003, 40032, 185;
10000, 10000, 0,40003, 40032, 171;
10000, 10000, 0,40003, 40032, 172;
10000, 10000, 0,40003, 40032, 170;
10000, 10000, 25,40003, 40032, 184;
10000, 10000, 25,40003, 40032, 170;
10000, 10000, 25,40003, 40032, 170;
10000, 10000, 25,40003, 40032, 170;
10000, 10000, 25,40003, 40032, 170;
10000, 10000, 25,40003, 40032, 171;
10000, 10000, 25,40003, 40032, 171;
10000, 10000, 25,40003, 40032, 171;
10000, 10000, 25,40003, 40032, 173;
10000, 10000, 25,40003, 40032, 171;
10000, 10000, 50,40003, 40032, 183;
10000, 10000, 50,40003, 40032, 171;
10000, 10000, 50,40003, 40032, 171;
10000, 10000, 50,40003, 40032, 183;
10000, 10000, 50,40003, 40032, 172;
10000, 10000, 50,40003, 40032, 170;
10000, 10000, 50,40003, 40032, 172;
10000, 10000, 50,40003, 40032, 171;
10000, 10000, 50,40003, 40032, 171;
10000, 10000, 50,40003, 40032, 183;
10000, 10000, 75,40003, 40032, 184;
10000, 10000, 75,40003, 40032, 183;
10000, 10000, 75,40003, 40032, 206;
