TriRapide

Nombre de données, Intervalle des données, Taux de dispersion, nombre d'instructions,mémoire maximale(bytes), temps de traitement(us);
10000, 100, 0,1234670, 2244, 6713;
10000, 100, 0,1234670, 2244, 7792;
10000, 100, 0,1234670, 2244, 7130;
10000, 100, 0,1234670, 2244, 6931;
10000, 100, 0,1234670, 2244, 7169;
10000, 100, 0,1234670, 2244, 8423;
10000, 100, 0,1234670, 2244, 6686;
10000, 100, 0,1234670, 2244, 6726;
10000, 100, 0,1234670, 2244, 6668;
10000, 100, 0,1234670, 2244, 6720;
10000, 100, 25,1203412, 2228, 7868;
10000, 100, 25,1203412, 2228, 8155;
10000, 100, 25,1203412, 2228, 9019;
10000, 100, 25,1203412, 2228, 8928;
10000, 100, 25,1203412, 2228, 9951;
10000, 100, 25,1203412, 2228, 10059;
10000, 100, 25,1203412, 2228, 6614;
10000, 100, 25,1203412, 2228, 6582;
10000, 100, 25,1203412, 2228, 6692;
10000, 100, 25,1203412, 2228, 6600;
10000, 100, 50,1165497, 2260, 8729;
10000, 100, 50,1165497, 2260, 6499;
10000, 100, 50,1165497, 2260, 6948;
10000, 100, 50,1165497, 2260, 8822;
10000, 100, 50,1165497, 2260, 8999;
10000, 100, 50,1165497, 2260, 8965;
10000, 100, 50,1165497, 2260, 8898;
10000, 100, 50,1165497, 2260, 8929;
10000, 100, 50,1165497, 2260, 6815;
10000, 100, 50,1165497, 2260, 6727;
10000, 100, 75,1250544, 2500, 6834;
10000, 100, 75,1250544, 2500, 7684;
10000, 100, 75,1250544, 2500, 7163;
10000, 100, 75,1250544, 2500, 6893;
10000, 100, 75,1250544, 2500, 7956;
10000, 100, 75,1250544, 2500, 8467;
10000, 100, 75,1250544, 2500, 7020;
10000, 100, 75,1250544, 2500, 6894;
10000, 100, 75,1250544, 2500, 6858;
10000, 100, 75,1250544, 2500, 6887;
10000, 100, 100,1228520, 2420, 6940;
10000, 100, 100,1228520, 2420, 6762;
10000, 100, 100,1228520, 2420, 6285;
10000, 100, 100,1228520, 2420, 6583;
10000, 100, 100,1228520, 2420, 6646;
10000, 100, 100,1228520, 2420, 6708;
10000, 100, 100,1228520, 2420, 6582;
10000, 100, 100,1228520, 2420, 6267;
10000, 100, 100,1228520, 2420, 6432;
10000, 100, 100,1228520, 2420, 6621;
10000, 10000, 0,297067, 660, 1704;
10000, 10000, 0,294954, 644, 1680;
10000, 10000, 0,294954, 644, 1683;
10000, 10000, 0,294954, 644, 1742;
10000, 10000, 0,294954, 644, 1586;
10000, 10000, 0,294954, 644, 1581;
10000, 10000, 0,294954, 644, 1582;
10000, 10000, 0,294954, 644, 1677;
10000, 10000, 0,294954, 644, 1609;
10000, 10000, 0,294954, 644, 1584;
10000, 10000, 25,286940, 596, 1869;
10000, 10000, 25,286940, 596, 1880;
10000, 10000, 25,286940, 596, 1756;
