TriTas

Nombre de données, Intervalle des données, Taux de dispersion, nombre d'instructions,mémoire maximale(bytes), temps de traitement(us);
1000, 100, 0,4426494, 28, 16670;
1000, 100, 0,4426494, 28, 17959;
1000, 100, 0,4426494, 28, 17398;
1000, 100, 0,4426494, 28, 27649;
1000, 100, 0,4426494, 28, 23564;
1000, 100, 0,4426494, 28, 18985;
1000, 100, 0,4426494, 28, 24286;
1000, 100, 0,4426494, 28, 24343;
1000, 100, 0,4426494, 28, 19042;
1000, 100, 0,4426494, 28, 35884;
1000, 100, 25,4424282, 28, 24837;
1000, 100, 25,4424282, 28, 21820;
1000, 100, 25,4424282, 28, 17351;
1000, 100, 25,4424282, 28, 21167;
1000, 100, 25,4424282, 28, 23204;
1000, 100, 25,4424282, 28, 15213;
1000, 100, 25,4424282, 28, 15754;
1000, 100, 25,4424282, 28, 15240;
1000, 100, 25,4424282, 28, 14780;
1000, 100, 25,4424282, 28, 14820;
1000, 100, 50,4423898, 28, 15122;
1000, 100, 50,4423898, 28, 16314;
1000, 100, 50,4423898, 28, 15761;
1000, 100, 50,4423898, 28, 15811;
1000, 100, 50,4423898, 28, 15849;
1000, 100, 50,4423898, 28, 15689;
1000, 100, 50,4423898, 28, 14739;
1000, 100, 50,4423898, 28, 15273;
1000, 100, 50,4423898, 28, 15720;
1000, 100, 50,4423898, 28, 15698;
1000, 100, 75,4423474, 28, 16200;
1000, 100, 75,4423474, 28, 15887;
1000, 100, 75,4423474, 28, 15066;
1000, 100, 75,4423474, 28, 15257;
1000, 100, 75,4423474, 28, 15090;
1000, 100, 75,4423474, 28, 15704;
1000, 100, 75,4423474, 28, 15614;
1000, 100, 75,4423474, 28, 15760;
1000, 100, 75,4423474, 28, 15193;
1000, 100, 75,4423474, 28, 15249;
1000, 100, 100,4423009, 28, 14935;
1000, 100, 100,4423009, 28, 15726;
1000, 100, 100,4423009, 28, 15139;
1000, 100, 100,4423009, 28, 15178;
1000, 100, 100,4423009, 28, 15698;
1000, 100, 100,4423009, 28, 15663;
1000, 100, 100,4423009, 28, 15544;
1000, 100, 100,4423009, 28, 22429;
1000, 100, 100,4423009, 28, 19508;
1000, 100, 100,4423009, 28, 20710;
1000, 1000, 0,4428056, 28, 18281;
1000, 1000, 0,4428056, 28, 15753;
1000, 1000, 0,4428056, 28, 15690;
1000, 1000, 0,4428056, 28, 16236;
1000, 1000, 0,4428056, 28, 14722;
1000, 1000, 0,4428056, 28, 14801;
1000, 1000, 0,4428056, 28, 14850;
1000, 1000, 0,4428056, 28, 14866;
1000, 1000, 0,4428056, 28, 14763;
1000, 1000, 0,4428056, 28, 14728;
1000, 1000, 25,4424873, 28, 15007;
1000, 1000, 25,4424873, 28, 15660;
1000, 1000, 25,4424873, 28, 14790;
1000, 1000, 25,4424873, 28, 14854;
1000, 1000, 25,4424873, 28, 14721;
1000, 1000, 25,4424873, 28, 15056;
1000, 1000, 25,4424873, 28, 14838;
1000, 1000, 25,4425047, 28, 14864;
1000, 1000, 25,4425047, 28, 15485;
1000, 1000, 25,4425047, 28, 14861;
1000, 1000, 50,4424185, 28, 14966;
1000, 1000, 50,4424185, 28, 15705;
